epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2333,2.19479,6.84485,1.52999,0.00793,0.1626,0.0061,0.00315,1.8038,94.8135,1.41546,0.000651852,0.000651852,0.000651852
2,44.6987,1.94515,2.85847,1.51823,0.00908,0.30894,0.00465,0.00187,2.49581,49.2925,2.13274,0.00130547,0.00130547,0.00130547
3,68.7455,2.08031,2.58342,1.61736,0.11349,0.17073,0.061,0.02785,2.6329,9.28802,2.47819,0.00194588,0.00194588,0.00194588
4,91.1395,2.11544,2.44352,1.67585,0.02857,0.11382,0.01163,0.0048,2.69193,41.9319,2.56209,0.0019406,0.0019406,0.0019406
5,115.165,2.14273,2.55051,1.68125,0.30307,0.27642,0.20288,0.11214,2.35844,8.05477,2.1293,0.0019208,0.0019208,0.0019208
6,140.691,1.98505,2.37112,1.55707,0.41216,0.23577,0.22862,0.11074,2.31302,4.05763,2.05363,0.001901,0.001901,0.001901
7,161.958,1.92674,2.22923,1.59155,0.45224,0.30081,0.30354,0.16177,2.13027,2.45136,1.79922,0.0018812,0.0018812,0.0018812
8,189.871,1.91251,2.01495,1.51253,0.59046,0.38684,0.4056,0.21154,2.06062,2.76871,1.76615,0.0018614,0.0018614,0.0018614
9,214.726,1.9098,2.12676,1.573,0.47657,0.42276,0.37108,0.18272,2.05763,2.33215,1.69997,0.0018416,0.0018416,0.0018416
10,237.619,1.78831,1.96335,1.45554,0.6624,0.49593,0.51901,0.26867,1.88089,1.91166,1.57601,0.0018218,0.0018218,0.0018218
11,261.942,1.74514,1.81006,1.46284,0.47424,0.4878,0.43786,0.24026,1.86719,2.95376,1.6747,0.001802,0.001802,0.001802
12,284.997,1.74343,1.79863,1.48923,0.6198,0.49041,0.51312,0.2785,1.75619,2.12727,1.55769,0.0017822,0.0017822,0.0017822
13,310.21,1.76261,1.83174,1.47925,0.52165,0.48763,0.43693,0.24157,1.86595,2.14638,1.59948,0.0017624,0.0017624,0.0017624
14,332.4,1.70674,1.83734,1.46084,0.70373,0.48281,0.51344,0.30584,1.77236,1.94796,1.53473,0.0017426,0.0017426,0.0017426
15,356.484,1.68035,1.6641,1.42071,0.71066,0.53659,0.56268,0.32151,1.67406,1.73697,1.44756,0.0017228,0.0017228,0.0017228
16,378.409,1.55399,1.50913,1.35663,0.68496,0.55285,0.61507,0.37235,1.61586,1.53002,1.43474,0.001703,0.001703,0.001703
17,403.846,1.56414,1.48359,1.33025,0.65439,0.53879,0.60307,0.33136,1.6711,1.64408,1.45786,0.0016832,0.0016832,0.0016832
18,425.807,1.59066,1.64236,1.3875,0.68648,0.53407,0.56593,0.33397,1.63958,2.12269,1.48304,0.0016634,0.0016634,0.0016634
19,449.981,1.59102,1.50387,1.35318,0.7381,0.61789,0.66137,0.37464,1.7271,1.58363,1.51897,0.0016436,0.0016436,0.0016436
20,473.38,1.56166,1.5242,1.37099,0.69169,0.54721,0.62812,0.34531,1.78753,1.53904,1.48267,0.0016238,0.0016238,0.0016238
21,496.89,1.52114,1.41114,1.34055,0.82008,0.56911,0.64989,0.36673,1.74704,1.53635,1.47723,0.001604,0.001604,0.001604
22,517.435,1.55664,1.41143,1.35279,0.68042,0.52846,0.59785,0.35659,1.59796,1.72086,1.39973,0.0015842,0.0015842,0.0015842
23,541.007,1.53728,1.48235,1.36905,0.74853,0.5935,0.64543,0.36128,1.70737,1.52221,1.44515,0.0015644,0.0015644,0.0015644
24,562.492,1.47716,1.33764,1.30337,0.91561,0.57724,0.70321,0.41258,1.57701,1.32511,1.38553,0.0015446,0.0015446,0.0015446
25,586.337,1.41992,1.21932,1.25324,0.87852,0.63415,0.72881,0.45017,1.46651,1.33745,1.33086,0.0015248,0.0015248,0.0015248
26,610.743,1.44146,1.26187,1.2748,0.79492,0.63415,0.70682,0.40983,1.5422,1.43031,1.35811,0.001505,0.001505,0.001505
27,633.26,1.3583,1.31375,1.25789,0.77205,0.6609,0.75677,0.47328,1.47177,1.20516,1.33697,0.0014852,0.0014852,0.0014852
28,655.619,1.32797,1.16952,1.21531,0.8441,0.64228,0.73994,0.44151,1.43395,1.3347,1.32297,0.0014654,0.0014654,0.0014654
29,678.374,1.35378,1.20379,1.24215,0.86822,0.6428,0.77654,0.48119,1.38751,1.27334,1.29055,0.0014456,0.0014456,0.0014456
30,702.431,1.26886,1.09234,1.18965,0.7998,0.69919,0.79414,0.51461,1.35729,1.19708,1.25526,0.0014258,0.0014258,0.0014258
31,726.299,1.27541,1.06494,1.18905,0.93461,0.60976,0.73744,0.43234,1.4679,1.25966,1.31454,0.001406,0.001406,0.001406
32,747.001,1.28328,1.04977,1.18889,0.81051,0.6748,0.77557,0.49127,1.3976,1.22612,1.26788,0.0013862,0.0013862,0.0013862
33,771.3,1.26025,1.09576,1.19418,0.84027,0.76983,0.83472,0.54795,1.33927,1.17822,1.27353,0.0013664,0.0013664,0.0013664
34,794.482,1.28504,1.12561,1.17849,0.73202,0.80488,0.802,0.52497,1.32081,1.29222,1.26475,0.0013466,0.0013466,0.0013466
35,817.255,1.21365,1.04793,1.18222,0.87168,0.71798,0.83844,0.53683,1.2668,1.09545,1.26535,0.0013268,0.0013268,0.0013268
36,837.706,1.26884,1.04683,1.19586,0.86178,0.72358,0.8166,0.55901,1.29742,1.0719,1.28315,0.001307,0.001307,0.001307
37,862.06,1.24358,1.04064,1.20531,0.89789,0.76423,0.87054,0.57635,1.31783,0.95718,1.2402,0.0012872,0.0012872,0.0012872
38,886.1,1.17661,0.94754,1.15543,0.90974,0.79675,0.88973,0.59313,1.21608,0.89754,1.18774,0.0012674,0.0012674,0.0012674
39,910.243,1.16499,0.9714,1.13641,0.93732,0.72949,0.87058,0.56725,1.29144,0.9728,1.20878,0.0012476,0.0012476,0.0012476
40,932.882,1.20737,1.01123,1.1731,0.94101,0.73171,0.85149,0.59047,1.23638,0.98701,1.19115,0.0012278,0.0012278,0.0012278
41,953.517,1.20641,0.97533,1.1302,0.87572,0.80204,0.88539,0.57488,1.25093,0.95416,1.17129,0.001208,0.001208,0.001208
42,975.647,1.11825,0.8928,1.14245,0.92778,0.8356,0.92045,0.61098,1.17738,0.89727,1.17127,0.0011882,0.0011882,0.0011882
43,997.621,1.10477,0.88798,1.09286,0.94427,0.78862,0.91039,0.62184,1.16126,0.89178,1.14681,0.0011684,0.0011684,0.0011684
44,1021.91,1.1532,0.91546,1.12151,0.82894,0.82738,0.87617,0.56303,1.24755,0.97848,1.18964,0.0011486,0.0011486,0.0011486
45,1042.43,1.07597,0.84789,1.07638,0.91468,0.78448,0.88219,0.60103,1.21005,0.93642,1.17133,0.0011288,0.0011288,0.0011288
46,1066.44,1.10169,0.8411,1.07778,0.9109,0.82927,0.91114,0.63662,1.10165,0.84362,1.11146,0.001109,0.001109,0.001109
47,1089.89,1.09076,0.88272,1.1057,0.87706,0.87001,0.90108,0.64609,1.12082,0.86286,1.12575,0.0010892,0.0010892,0.0010892
48,1112.58,1.06103,0.81556,1.08475,0.91917,0.84553,0.91558,0.64935,1.13147,0.85214,1.11928,0.0010694,0.0010694,0.0010694
49,1136.81,1.12725,0.86246,1.10034,0.84476,0.84061,0.89729,0.61786,1.18043,0.84652,1.1388,0.0010496,0.0010496,0.0010496
50,1157.96,1.08939,0.81918,1.0881,0.93797,0.86056,0.90896,0.65206,1.1542,0.84577,1.1472,0.0010298,0.0010298,0.0010298
51,1182.37,1.08682,0.89327,1.10294,0.87889,0.85366,0.90124,0.65156,1.14139,0.94823,1.13523,0.00101,0.00101,0.00101
52,1203.56,1.01246,0.83481,1.06445,0.90138,0.78862,0.89219,0.63142,1.12849,0.86361,1.14322,0.0009902,0.0009902,0.0009902
53,1228.37,1.00318,0.79455,1.05385,0.88137,0.86179,0.92047,0.65886,1.11227,0.79563,1.10813,0.0009704,0.0009704,0.0009704
